date,temperature_2m_mean
2015-07-14 00:00:00+00:00,23.011168
2015-07-15 00:00:00+00:00,24.913254
2015-07-16 00:00:00+00:00,26.663252
2015-07-17 00:00:00+00:00,27.048668
2015-07-18 00:00:00+00:00,24.319504
2015-07-19 00:00:00+00:00,24.715334
2015-07-20 00:00:00+00:00,25.692421
2015-07-21 00:00:00+00:00,27.10492
2015-07-22 00:00:00+00:00,27.440332
2015-07-23 00:00:00+00:00,23.311167
2015-07-24 00:00:00+00:00,24.350746
2015-07-25 00:00:00+00:00,19.811167
2015-07-26 00:00:00+00:00,18.767416
2015-07-27 00:00:00+00:00,19.398666
2015-07-28 00:00:00+00:00,18.65492
2015-07-29 00:00:00+00:00,15.409084
2015-07-30 00:00:00+00:00,16.87575
2015-07-31 00:00:00+00:00,18.63825
2015-08-01 00:00:00+00:00,18.034086
2015-08-02 00:00:00+00:00,20.536165
2015-08-03 00:00:00+00:00,23.317415
2015-08-04 00:00:00+00:00,21.657
2015-08-05 00:00:00+00:00,23.827835
2015-08-06 00:00:00+00:00,26.673668
2015-08-07 00:00:00+00:00,28.734087
2015-08-08 00:00:00+00:00,26.042418
2015-08-09 00:00:00+00:00,23.00492
2015-08-10 00:00:00+00:00,21.307
2015-08-11 00:00:00+00:00,23.390335
2015-08-12 00:00:00+00:00,25.423668
2015-08-13 00:00:00+00:00,24.848663
2015-08-14 00:00:00+00:00,19.407001
2015-08-15 00:00:00+00:00,17.352833
2015-08-16 00:00:00+00:00,15.532001
2015-08-17 00:00:00+00:00,17.167418
2015-08-18 00:00:00+00:00,17.188251
2015-08-19 00:00:00+00:00,16.588251
2015-08-20 00:00:00+00:00,17.50075
2015-08-21 00:00:00+00:00,18.669498
2015-08-22 00:00:00+00:00,19.298668
2015-08-23 00:00:00+00:00,18.621582
2015-08-24 00:00:00+00:00,17.715334
2015-08-25 00:00:00+00:00,17.075748
2015-08-26 00:00:00+00:00,18.70075
2015-08-27 00:00:00+00:00,22.125753
2015-08-28 00:00:00+00:00,23.427835
2015-08-29 00:00:00+00:00,24.63825
2015-08-30 00:00:00+00:00,25.69867
2015-08-31 00:00:00+00:00,24.61325
2015-09-01 00:00:00+00:00,19.273668
2015-09-02 00:00:00+00:00,17.209082
2015-09-03 00:00:00+00:00,16.265331
2015-09-04 00:00:00+00:00,16.090334
2015-09-05 00:00:00+00:00,14.425752
2015-09-06 00:00:00+00:00,12.602834
2015-09-07 00:00:00+00:00,13.265331
2015-09-08 00:00:00+00:00,14.498668
2015-09-09 00:00:00+00:00,14.961167
2015-09-10 00:00:00+00:00,14.196584
2015-09-11 00:00:00+00:00,15.256999
2015-09-12 00:00:00+00:00,18.46325
2015-09-13 00:00:00+00:00,18.086168
2015-09-14 00:00:00+00:00,15.942417
2015-09-15 00:00:00+00:00,14.298668
2015-09-16 00:00:00+00:00,17.113249
2015-09-17 00:00:00+00:00,13.415333
2015-09-18 00:00:00+00:00,13.344499
2015-09-19 00:00:00+00:00,12.419501
2015-09-20 00:00:00+00:00,12.500751
2015-09-21 00:00:00+00:00,13.552834
2015-09-22 00:00:00+00:00,13.254917
2015-09-23 00:00:00+00:00,10.627833
2015-09-24 00:00:00+00:00,12.300748
2015-09-25 00:00:00+00:00,13.025749
2015-09-26 00:00:00+00:00,13.734081
2015-09-27 00:00:00+00:00,12.700751
2015-09-28 00:00:00+00:00,11.427834
2015-09-29 00:00:00+00:00,12.08825
2015-09-30 00:00:00+00:00,10.542417
2015-10-01 00:00:00+00:00,9.694501
2015-10-02 00:00:00+00:00,12.159083
2015-10-03 00:00:00+00:00,13.569503
2015-10-04 00:00:00+00:00,12.869499
2015-10-05 00:00:00+00:00,14.648665
2015-10-06 00:00:00+00:00,14.934082
2015-10-07 00:00:00+00:00,13.290333
2015-10-08 00:00:00+00:00,12.3445015
2015-10-09 00:00:00+00:00,11.977833
2015-10-10 00:00:00+00:00,11.752833
2015-10-11 00:00:00+00:00,11.467418
2015-10-12 00:00:00+00:00,9.984084
2015-10-13 00:00:00+00:00,9.027835
2015-10-14 00:00:00+00:00,6.407
2015-10-15 00:00:00+00:00,4.927833
2015-10-16 00:00:00+00:00,5.75075
2015-10-17 00:00:00+00:00,6.404917
2015-10-18 00:00:00+00:00,7.45075
2015-10-19 00:00:00+00:00,6.6945
2015-10-20 00:00:00+00:00,6.6715837
2015-10-21 00:00:00+00:00,7.5257506
2015-10-22 00:00:00+00:00,7.4528337
2015-10-23 00:00:00+00:00,9.659084
